tweet_s,lyric_s,heat
0.22023809523809523,0.748595595,16
0.10555555555555556,0.986563325,1
0.37222222222222223,0.42828095,0
0.34444444444444444,0.986592591,7
0.6333333333333333,0.9845617409999999,22
0.4222222222222222,0.01234544,8
0.3333333333333333,0.983158946,0
0.1,0.9874715209999999,9
0.11666666666666667,0.999773681,27
0.43243243243243246,0.216545761,3
0.0,0.982888579,19
0.022222222222222223,0.010024761,1
0.6444444444444445,0.91649431,3
0.6388888888888888,0.181933686,17
0.7037037037037037,0.419946969,11
0.0,0.9474132059999999,7
0.5611111111111111,0.001237792,8
0.3333333333333333,0.959166348,0
0.15,0.997745812,19
0.36666666666666664,0.7876206640000001,23
0.11392405063291139,0.982662797,0
0.6470588235294118,0.9995375870000001,11
0.45555555555555555,0.155358225,16
0.7055555555555556,0.027158089,32
0.5888888888888889,0.984775603,12
0.5333333333333333,0.700007617,0
0.08888888888888889,0.99826616,0
0.8333333333333334,0.9752931,11
0.0,0.997722089,13
0.28888888888888886,0.9251519440000001,5
0.45555555555555555,0.996862292,7
0.0,0.007073614000000001,5
0.027972027972027972,0.14519541,3
0.0,0.9857555029999999,9
0.5666666666666667,0.015364988999999999,11
0.2722222222222222,0.003640718,3
0.4388888888888889,0.09039638900000001,27
0.5944444444444444,0.9912377,25
0.28888888888888886,0.970243156,0
0.38333333333333336,0.002261454,0
0.9277777777777778,0.0069392690000000005,18
0.0136986301369863,0.008153903,5
0.4166666666666667,0.024968045,0
1.0,0.006760301999999999,17
0.10619469026548672,8.88e-05,10
0.3888888888888889,0.979449391,0
0.6,0.9989373090000001,7
0.24444444444444444,0.734915733,27
0.08333333333333333,0.9391223190000001,7
0.7333333333333333,0.0017676229999999999,3
0.8777777777777778,0.993016958,2
0.6666666666666666,0.956736445,0
0.0,0.9959360359999999,0
0.40789473684210525,0.761179924,18
0.3388888888888889,0.959311664,2
0.6388888888888888,0.873097777,11
0.65,0.135833129,0
0.0,0.982646227,6
1.0,0.990805149,9
0.5888888888888889,0.979377925,0
0.0,0.013936046,15
0.27941176470588236,0.996245325,11
0.6666666666666666,0.988011599,6
0.6388888888888888,0.058314542999999996,19
0.8888888888888888,0.10683386,14
0.43333333333333335,0.36071175299999997,6
0.7333333333333333,0.007972691,10
0.0,0.950174689,0
1.0,0.965919495,3
0.7611111111111111,0.998336792,12
0.37777777777777777,0.052121177000000005,0
0.28888888888888886,0.268957496,8
0.32222222222222224,0.618891001,0
0.038461538461538464,0.980854511,1
0.8828125,0.9792326090000001,7
0.21666666666666667,0.99763298,0
0.6777777777777778,0.9967184659999999,0
0.6888888888888889,0.996166885,1
0.022222222222222223,0.9945829509999999,5
0.0,0.98562789,5
0.37777777777777777,0.538562894,9
0.7444444444444445,0.014908197,28
0.0,0.950735688,8
0.7888888888888889,0.976974428,7
0.08888888888888889,0.7049272059999999,11
0.6555555555555556,0.055026352,16
0.0,0.997469783,9
0.7,0.010479,0
0.6875,0.730791092,0
0.23333333333333334,0.39208024700000005,15
0.37142857142857144,0.97478652,0
0.008064516129032258,0.998143315,9
0.22777777777777777,0.988566697,0
0.5714285714285714,0.034744397,20
0.7,0.999352515,10
0.32222222222222224,0.982696056,2
0.17222222222222222,0.997038245,1
0.9888888888888889,0.882713675,15
0.8166666666666667,0.381973296,12
0.9444444444444444,0.947039485,7
0.0,0.998826563,18
0.0625,0.982360363,10
0.4444444444444444,0.622340918,6
0.8648648648648649,0.961383462,12
0.05555555555555555,0.034625854,0
0.9722222222222222,0.8913669590000001,4
0.0,0.016920848,2
0.0,0.996848762,2
